"","ZIP","Total_Occ_Houses","Owner_Occ_Houses","Renter_Occ_Houses"
"1","07001",5022,2531,2491
"2","07002",24967,9604,15363
"3","07003",18577,9564,9013
"4","07004",2621,2387,234
"5","07005",5489,4011,1478
"6","07006",9576,7356,2220
"7","07008",7925,4574,3351
"8","07009",4530,3626,904
"9","07010",10512,4777,5735
"10","07011",12649,5959,6690
"11","07012",4578,2532,2046
"12","07013",10011,6988,3023
"13","07014",1844,1331,513
"14","07016",8894,7030,1864
"15","07017",13167,3772,9395
"16","07018",10377,2247,8130
"17","07020",5751,2026,3725
"18","07021",765,718,47
"19","07022",5236,1672,3564
"20","07023",2506,2217,289
"21","07024",17479,10375,7104
"22","07026",11563,4673,6890
"23","07027",1725,1016,709
"24","07028",2495,2279,216
"25","07029",7266,1987,5279
"26","07030",25182,8263,16919
"27","07031",6384,3350,3034
"28","07032",13351,6248,7103
"29","07033",2733,1909,824
"30","07034",3318,2073,1245
"31","07035",3726,2937,789
"32","07036",15406,8671,6735
"33","07039",10225,8854,1371
"34","07040",7945,6148,1797
"35","07041",2513,1647,866
"36","07042",10436,5286,5150
"37","07043",4132,3405,727
"38","07044",5310,4278,1032
"39","07045",3883,3734,149
"40","07046",1357,1295,62
"41","07047",21794,8756,13038
"42","07050",11682,2391,9291
"43","07052",16414,11413,5001
"44","07054",11164,5613,5551
"45","07055",19854,4444,15410
"46","07057",4683,1961,2722
"47","07058",1825,1036,789
"48","07059",5192,4788,404
"49","07060",14971,6018,8953
"50","07062",4029,2397,1632
"51","07063",3988,2479,1509
"52","07064",1316,1109,207
"53","07065",11304,6748,4556
"54","07066",5932,4625,1307
"55","07067",6197,5461,736
"56","07068",2349,1820,529
"57","07069",2099,1744,355
"58","07070",6977,4457,2520
"59","07071",8738,4928,3810
"60","07072",2414,1524,890
"61","07073",3966,1356,2610
"62","07074",937,669,268
"63","07075",3315,2340,975
"64","07076",8747,7168,1579
"65","07077",970,667,303
"66","07078",4143,3736,407
"67","07079",5162,3522,1640
"68","07080",7924,6694,1230
"69","07081",6901,4239,2662
"70","07082",1579,1468,111
"71","07083",19094,14341,4753
"72","07086",6633,1999,4634
"73","07087",24512,5102,19410
"74","07088",1246,762,484
"75","07090",10280,8465,1815
"76","07092",2528,2302,226
"77","07093",24117,5553,18564
"78","07094",7557,4395,3162
"79","07095",7438,4179,3259
"80","07102",5501,445,5056
"81","07103",11835,2711,9124
"82","07104",18934,4319,14615
"83","07105",17320,3773,13547
"84","07106",11575,3650,7925
"85","07107",13207,2848,10359
