County,quantity,capacity_kw,capacity_mw
Overall,150440,3792746.628,3792.746628
Sussex,1502,77327.496,77.327496
Warren,1391,113417.917,113.417917
Morris,3937,124482.607,124.482607
Hunterdon,2084,113556.047,113.556047
Somerset,5008,160722.696,160.722696
Passaic,4138,86059.393,86.059393
Bergen,7453,157647.403,157.647403
Hudson,2174,119238.301,119.238301
Essex,5194,108808.757,108.808757
Union,6875,125745.874,125.745874
Middlesex,13333,469653.341,469.653341
Mercer,5557,205226.268,205.226268
Burlington,12609,404640.34,404.64034
Camden,11933,239488.608,239.488608
Gloucester,10182,199603.023,199.603023
Salem,3025,66503.516,66.503516
Monmouth,12328,316859.22,316.85922
Ocean,20552,336782.773,336.782773
Atlantic,11879,180775.685,180.775685
Cumberland,4076,125041.03,125.04103
Cape May,5210,61166.333,61.166333
