Date,residential,non_residential,grid_supply,residential_cum,non_residential_cum,grid_supply_cum
2000,4,2,0,4,2,0
2002,2,0,0,6,2,0
2001,25,10,0,31,12,0
2003,62,17,0,93,29,0
2004,247,44,0,340,73,0
2005,619,92,0,959,165,0
2006,733,141,0,1692,306,0
2007,520,119,0,2212,425,0
2008,653,218,0,2865,643,0
2009,1055,338,5,3920,981,5
2010,2126,544,19,6046,1525,24
2011,5090,1313,51,11136,2838,75
2012,5286,1110,23,16422,3948,98
2013,5946,539,18,22368,4487,116
2014,6824,231,8,29192,4718,124
2015,12886,203,8,42078,4921,132
2016,21915,352,22,63993,5273,154
2017,18565,478,8,82558,5751,162
2018,17256,558,5,99814,6309,167
2019,15896,592,7,115710,6901,174
2020,13989,490,10,129699,7391,184
2021,12785,365,16,142484,7756,200
