"","ZIP","CAPACITY","Income","Perc_White","House_Value","Adoption_Rate","Perc_House_Owned","Perc_House_Rented","TPO_FREQ"
"1","07001",1524.128,69849,51.4,263700,0.0450019912385504,0.503982477100757,0.496017522899243,0.809734513274336
"2","07002",1737.905,63947,62.6,333700,0.0107341691032162,0.384667761445108,0.615332238554892,0.772388059701492
"3","07003",3515.595,78034,61.2,329900,0.0321903428971309,0.514830166334715,0.485169833665285,0.759197324414716
"4","07004",1990.187,122063,94.8,517500,0.0850820297596337,0.910721098817245,0.0892789011827547,0.883408071748879
"5","07005",1217.411,111946,84.9,466700,0.0275095645837129,0.730734195664055,0.269265804335945,0.635761589403974
"6","07006",1142.013,127921,89.6,556500,0.0144110275689223,0.768170426065163,0.231829573934837,0.681159420289855
"7","07008",3596.223,73347,54.4,272200,0.0666246056782334,0.577160883280757,0.422839116719243,0.852272727272727
"8","07009",782.445,123768,86.5,473100,0.022075055187638,0.800441501103753,0.199558498896247,0.55
"9","07010",482.825,72633,70.6,447900,0.00637366818873668,0.45443302891933,0.54556697108067,0.716417910447761
"10","07011",2184.92,59519,62.1,312800,0.0285398055182228,0.471104435133212,0.528895564866788,0.786703601108033
"11","07012",1106.41,81361,74.9,355000,0.0384447356924421,0.55307994757536,0.44692005242464,0.840909090909091
"12","07013",3449.97,92312,73.7,365200,0.051842972729997,0.698032164618919,0.301967835381081,0.763005780346821
"13","07014",404.767,89349,67.3,326600,0.0319956616052061,0.721800433839479,0.278199566160521,0.661016949152542
"14","07016",980.347,129781,88.7,486600,0.0152912075556555,0.790420508207781,0.209579491792219,0.691176470588235
"15","07017",941.12,48673,3.4,222900,0.011771853877117,0.286473760157971,0.713526239842029,0.806451612903226
"16","07018",447.205,47094,3.4,212400,0.00751662330153223,0.216536571263371,0.783463428736629,0.756410256410256
"17","07020",116.97,127221,51.4,600600,0.0033037732568249,0.352286558859329,0.647713441140671,0.526315789473684
"18","07021",37.99,213309,93.8,848500,0.0065359477124183,0.938562091503268,0.061437908496732,1
"19","07022",276.51,57698,77.2,364900,0.00783040488922842,0.319327731092437,0.680672268907563,0.609756097560976
"20","07023",361.28,147905,85.6,467800,0.0227454110135674,0.884676775738228,0.115323224261772,0.631578947368421
"21","07024",439.614,83767,49.9,324600,0.00303221008066823,0.593569426168545,0.406430573831455,0.622641509433962
"22","07026",1281.514,62867,83.8,338400,0.0185937905387875,0.404133875291879,0.595866124708121,0.795348837209302
"23","07027",390.745,88892,91.2,380800,0.031304347826087,0.588985507246377,0.411014492753623,0.759259259259259
"24","07028",182.644,198625,81,649500,0.0104208416833667,0.913426853707415,0.0865731462925852,0.538461538461538
"25","07029",238.165,69389,49.3,328600,0.00578034682080925,0.27346545554638,0.72653454445362,0.69047619047619
"26","07030",127.32,147620,80.7,720700,0.000913350806131364,0.328131204828846,0.671868795171154,0.173913043478261
"27","07031",1397.095,84527,83.7,363400,0.0335213032581454,0.524749373433584,0.475250626566416,0.813084112149533
