"","COUNTY","CAPACITY","COUNT","COUNTY_CODE","Income","Perc_White","Perc_Male","Total_Occ_House","Adoption_Rate"
"1","Atlantic",101276.8,11382,19,99850,65.8,48.4,99850,0.11399098647972
"2","Bergen",51201.861,6900,7,339856,71.6,48.5,339856,0.0203027164446118
"3","Burlington",106490.72,12023,13,166391,72,49.2,166391,0.072257513928037
"4","Camden",96114.415,11488,14,187383,63.6,48.3,187383,0.0613075892690372
"5","Cape May",42980.573,4938,21,40171,91.4,48.9,40171,0.122924497772025
"6","Cumberland",34999.973,3865,20,50729,68.1,51.1,50729,0.0761891620177808
"7","Essex",32827.966,4854,9,285908,42.9,48.1,285908,0.0169774892622802
"8","Gloucester",91904.179,9860,15,104908,81.4,48.6,104908,0.0939871125176345
"9","Hudson",11860.461,1868,8,258591,54.8,49.7,258591,0.00722376262128226
"10","Hunterdon",20281.011,1895,4,47175,90.5,49.8,47175,0.0401695813460519
"11","Mercer",43315.278,5123,12,129936,62.9,48.9,129936,0.0394271025735747
"12","Middlesex",99700.779,12647,11,285005,57.9,49.3,285005,0.0443746600936826
"13","Monmouth",101059.913,11612,17,235362,82.4,48.6,235362,0.0493367663429101
"14","Morris",30230.461,3613,3,181884,81.5,49.1,181884,0.0198643091200985
"15","Ocean",170722.495,19961,18,226160,90.9,48.2,226160,0.0882605235231694
"16","Passaic",28862.29,3860,6,165429,64,48.7,165429,0.0233332728844398
"17","Salem",30686.655,2840,16,23933,80,48.9,23933,0.118664605356621
"18","Somerset",40174.159,4627,5,118193,66.3,48.9,118193,0.0391478344741228
"19","Sussex",13336.047,1340,1,53322,92.8,49.8,53322,0.0251303401972919
"20","Union",45173.069,6536,10,190101,54.9,48.8,190101,0.0343817233996665
"21","Warren",11761.016,1252,2,41587,88.5,49,41587,0.030105561834227
