"","ZIP","CAPACITY","COUNT","Zip_Income","Zip_Perc_White","Zip_Perc_Male"
"1","07001",1524.128,226,5022,51.4,59.8
"2","07002",1737.905,268,24967,62.6,48.9
"3","07003",3515.595,598,18577,61.2,48.1
"4","07004",1990.187,223,2621,94.8,46.6
"5","07005",1217.411,151,5489,84.9,49.1
"6","07006",1142.013,138,9576,89.6,46.9
"7","07007",3.6,1,NA,NA,NA
"8","07008",3596.223,528,7925,54.4,47.9
"9","07009",782.445,100,4530,86.5,45.2
"10","07010",482.825,67,10512,70.6,47.6
"11","07011",2184.92,361,12649,62.1,48.4
"12","07012",1106.41,176,4578,74.9,49.2
"13","07013",3449.97,519,10011,73.7,46.1
"14","07014",404.767,59,1844,67.3,51.3
"15","07015",21.828,4,NA,NA,NA
"16","07016",980.347,136,8894,88.7,48
"17","07017",941.12,155,13167,3.4,46.5
"18","07018",447.205,78,10377,3.4,46.6
"19","07019",11.22,2,NA,NA,NA
"20","07020",116.97,19,5751,51.4,48.2
"21","07021",37.99,5,765,93.8,46.7
"22","07022",276.51,41,5236,77.2,48.4
"23","07023",361.28,57,2506,85.6,46.8
"24","07024",439.614,53,17479,49.9,47.8
"25","07026",1281.514,215,11563,83.8,48.5
"26","07027",390.745,54,1725,91.2,52.8
"27","07028",182.644,26,2495,81,50.1
"28","07029",238.165,42,7266,49.3,49.4
"29","07030",127.32,23,25182,80.7,49.7
"30","07031",1397.095,214,6384,83.7,49.7
"31","07032",1775.26,299,13351,66,51.5
"32","07033",1200.195,156,2733,76,46.6
"33","07034",708.955,102,3318,58.6,51.7
"34","07035",755.385,84,3726,89,47.4
"35","07036",5155.209,809,15406,54.7,47.3
"36","07039",2324.664,241,10225,68.7,50.1
"37","07040",1877.538,318,7945,52.7,48.3
"38","07041",249.613,35,2513,65.3,48.1
"39","07042",1164.461,171,10436,57.4,47.8
"40","07043",587.653,75,4132,86.9,48.1
"41","07044",745.349,105,5310,90.9,45.5
"42","07045",677.267,65,3883,74.6,48.9
"43","07046",58.585,9,1357,84,50
"44","07047",2080.984,317,21794,67.9,50.8
"45","07050",626.66,126,11682,13.6,44
"46","07051",7.35,1,NA,NA,NA
"47","07052",3863.693,518,16414,55,48.6
"48","07054",2487.575,353,11164,54.3,47.1
"49","07055",1706.472,240,19854,64.6,50
"50","07057",572.11,89,4683,86.9,48.8
"51","07058",286.267,28,1825,69.2,52.8
"52","07059",1151.804,115,5192,77.6,49.6
"53","07060",2229.994,329,14971,37.6,50.6
"54","07061",24.38,4,NA,NA,NA
"55","07062",1153.675,174,4029,25.5,45.7
"56","07063",1168.11,170,3988,27.8,51.8
"57","07064",879.87,124,1316,62.2,48.8
"58","07065",2728.442,403,11304,51.5,49.7
"59","07066",1246.879,146,5932,93.2,49.9
"60","07067",2776.407,354,6197,71.3,47.9
"61","07068",339.151,37,2349,86.9,47.4
"62","07069",574.085,47,2099,83.9,45.4
"63","07070",1296.555,188,6977,72.8,47.4
"64","07071",1473.973,218,8738,84,51.3
"65","07072",629.187,86,2414,85.2,48.8
"66","07073",579.04,83,3966,68.3,48.2
"67","07074",358.673,47,937,73.2,49.7
"68","07075",704.626,95,3315,77.3,47.4
"69","07076",1853.343,226,8747,77.2,47.6
"70","07077",517.29,70,970,72.6,45.4
"71","07078",426.392,42,4143,66.1,51
"72","07079",1097.202,139,5162,64.4,47.1
"73","07080",3910.421,507,7924,61.6,50.4
"74","07081",1058.745,122,6901,72.9,47.7
"75","07082",385.96,36,1579,88.2,47.9
"76","07083",7513.75,1171,19094,47.5,48.6
"77","07086",106.43,23,6633,71.3,50.1
"78","07087",407.275,77,24512,70.4,49.3
"79","07088",360.42,56,1246,13.4,38.8
"80","07090",830.142,100,10280,83.4,48.3
"81","07092",401.645,44,2528,88.5,47.8
"82","07093",494.41,69,24117,61.6,49.9
"83","07094",1316.247,183,7557,62.1,47.8
"84","07095",1682.175,240,7438,57.8,49
"85","07099",7.82,1,NA,NA,NA
"86","07102",27.18,5,5501,27.4,51.1
"87","07103",580.557,117,11835,10.7,44.7
"88","07104",766.85,99,18934,37.9,49.2
"89","07105",297.179,47,17320,69.9,53.2
"90","07106",730.885,128,11575,3.8,46.3
"91","07107",480.485,78,13207,29.6,47.5
"92","07108",728.31,147,8928,5.1,44.8
"93","07109",2628.09,426,12189,62.9,49
"94","07110",1663.148,239,11033,79.6,48.6
"95","07111",1755.425,297,20024,7.3,47.4
"96","07112",687.517,118,9695,3.2,44.8
"97","07114",115.07,18,3375,24.5,63.6
"98","07189",3.525,1,NA,NA,NA
"99","07201",1356.57,196,8651,52.5,53.8
"100","07202",2213.445,329,13097,34.3,48
"101","07203",2501.65,393,7402,26.2,47
"102","07204",994.565,151,4948,58.3,49.9
"103","07205",2427.835,376,7342,26.8,46.8
"104","07206",1445.33,210,7894,24.9,49.5
"105","07207",7.2,1,NA,NA,NA
"106","07208",1484.674,224,11123,55.5,50.8
"107","07242",6.07,1,NA,NA,NA
"108","07302",205.482,34,22355,52.4,50.8
"109","07303",5.13,1,NA,NA,NA
"110","07304",666.719,99,16075,25.9,48
"111","07305",1659.38,259,22652,19.5,46.9
"112","07306",465.565,74,20107,42.8,51.7
"113","07307",562.229,98,15721,46.4,50.3
"114","07310",4.14,1,6097,29.4,52.6
"115","07331",10.07,2,NA,NA,NA
"116","07401",133.34,15,2210,85.5,44.7
"117","07403",69.865,12,2953,89.8,48.3
"118","07405",237.213,23,6394,90.9,50.5
"119","07407",1643.269,242,6738,76,46.8
"120","07410",2908.465,407,11387,82.4,48.7
"121","07416",382.04,44,2232,94.5,46.7
"122","07417",368.48,27,3845,87.6,50.1
"123","07418",313.913,35,762,86.7,55.6
"124","07419",406.999,45,3592,91.6,52.2
"125","07420",231.832,27,1716,82.5,50
"126","07421",797.745,87,2653,87.8,50.2
"127","07422",111.65,14,2334,93.4,49.2
"128","07423",135.62,10,1438,85.3,45.6
"129","07424",1870.676,242,9756,83.4,47.7
"130","07428",15.98,2,NA,NA,NA
"131","07430",1081.506,113,9778,81.5,46
"132","07432",152.774,22,2669,91.8,48.6
"133","07435",209.26,27,852,88.1,49.5
"134","07436",388.988,50,4237,91,48.4
"135","07438",1201.195,131,4386,92.7,48.8
"136","07439",226.64,29,827,93.6,50.8
"137","07440",463.748,55,1513,96.2,50.7
"138","07442",563.63,66,4004,85.9,50.3
"139","07444",426.244,52,4658,94.9,47.1
"140","07446",464.16,51,5512,90.9,49.3
"141","07450",600.064,81,8310,78.9,48.2
"142","07451",6.11,1,NA,NA,NA
"143","07452",457.325,56,3776,82.4,49.4
"144","07456",672.299,78,4092,90.9,49
"145","07457",152.15,17,1817,89.5,48
"146","07458",597.93,45,3859,73.9,50.9
"147","07460",163.68,19,1269,95.9,52.4
"148","07461",1274.848,121,6583,94.9,48.3
"149","07462",221.585,23,2553,92.9,53.2
"150","07463",328.592,49,3566,88.8,49.3
"151","07465",343.619,41,2553,93.8,49.1
"152","07470",3689.131,399,18350,87,47.9
"153","07479",7.65,1,NA,NA,NA
"154","07480",1243.123,130,6026,94.5,48.9
"155","07481",188.781,25,5833,93.3,47.7
"156","07501",590.835,79,10745,22.4,49
"157","07502",1132.485,169,4504,38.7,50.1
