"","COUNTY","CUSTOMER_TYPE","THIRD_PARTY_OWNERSHIP","CAPACITY","COUNT"
"1","Atlantic","Commercial","No",37175.204,258
"2","Atlantic","Commercial","Yes",14722.6,85
"3","Atlantic","Farm","No",477.37,14
"4","Atlantic","Farm","Yes",77.245,4
"5","Atlantic","Government Facility","No",404.73,2
"6","Atlantic","Government Facility","Yes",882.73,5
"7","Atlantic","Municipality","No",3288.013,9
"8","Atlantic","Municipality","Yes",3815.14,8
"9","Atlantic","Non Profit","No",654.695,21
"10","Atlantic","Non Profit","Yes",3470.72,51
"11","Atlantic","Public University","No",728.658,4
"12","Atlantic","Public University","Yes",2491.42,3
"13","Atlantic","Residential","No",25090.416,2617
"14","Atlantic","Residential","Yes",76186.384,8765
"15","Atlantic","School Other","No",468.3,1
"16","Atlantic","School Other","Yes",90.83,2
"17","Atlantic","School Public K-12","No",3893.23,19
"18","Atlantic","School Public K-12","Yes",6836.69,10
"19","Atlantic","SUNLIT","No",21.31,1
"20","Bergen","Commercial","No",43349.052,276
"21","Bergen","Commercial","Yes",38178.35,122
"22","Bergen","Farm","No",50.63,1
"23","Bergen","Government Facility","No",153.96,3
"24","Bergen","Government Facility","Yes",1959.36,2
"25","Bergen","Municipality","No",1073.552,18
"26","Bergen","Municipality","Yes",1469.27,10
"27","Bergen","Non Profit","No",1159.969,23
"28","Bergen","Non Profit","Yes",1770.275,32
"29","Bergen","Public University","No",15.77,2
"30","Bergen","Public University","Yes",5202.26,3
"31","Bergen","Residential","No",17783.953,2104
"32","Bergen","Residential","Yes",33417.908,4796
"33","Bergen","School Charter","Yes",209.3,1
"34","Bergen","School Other","No",110.674,3
"35","Bergen","School Other","Yes",1203.48,8
"36","Bergen","School Public K-12","No",1470.71,15
"37","Bergen","School Public K-12","Yes",9068.93,34
"38","Burlington","Commercial","No",107292.439,278
"39","Burlington","Commercial","Yes",158882.361,160
"40","Burlington","Farm","No",705.667,22
"41","Burlington","Farm","Yes",186.36,3
"42","Burlington","Government Facility","No",10793.538,7
"43","Burlington","Government Facility","Yes",1080.52,6
"44","Burlington","Municipality","No",2093.67,11
"45","Burlington","Municipality","Yes",2843.315,4
"46","Burlington","Non Profit","No",686.083,23
"47","Burlington","Non Profit","Yes",3661.325,32
"48","Burlington","Public University","No",32.16,1
"49","Burlington","Residential","No",32844.242,3443
"50","Burlington","Residential","Yes",73646.478,8580
"51","Burlington","School Other","Yes",207.9,1
"52","Burlington","School Public K-12","No",3824.079,17
"53","Burlington","School Public K-12","Yes",5810.107,17
"54","Burlington","SUNLIT","No",50.096,4
"55","Camden","Commercial","No",43663.693,229
"56","Camden","Commercial","Yes",49478.516,89
"57","Camden","Farm","No",11.62,2
"58","Camden","Government Facility","No",679.4,2
"59","Camden","Government Facility","Yes",18254.64,6
"60","Camden","Municipality","No",3350.631,9
"61","Camden","Municipality","Yes",2194.46,5
"62","Camden","Non Profit","No",176.375,10
"63","Camden","Non Profit","Yes",2945.505,27
"64","Camden","Residential","No",25165.971,2773
"65","Camden","Residential","Yes",70948.444,8715
"66","Camden","School Other","No",879.35,3
"67","Camden","School Other","Yes",1978.64,9
"68","Camden","School Public K-12","No",1906.908,9
"69","Camden","School Public K-12","Yes",17613.175,38
"70","Camden","SUNLIT","No",241.28,7
"71","Cape May","Commercial","No",4707.298,123
"72","Cape May","Commercial","Yes",4018.865,67
"73","Cape May","Farm","No",86.63,3
"74","Cape May","Government Facility","No",7.59,1
"75","Cape May","Government Facility","Yes",26,3
"76","Cape May","Municipality","No",212.781,7
"77","Cape May","Municipality","Yes",887.746,9
"78","Cape May","Non Profit","No",179.835,11
"79","Cape May","Non Profit","Yes",1412.005,31
"80","Cape May","Public University","Yes",572.88,1
"81","Cape May","Residential","No",10012.311,1133
"82","Cape May","Residential","Yes",32968.262,3805
"83","Cape May","School Public K-12","No",278.005,1
"84","Cape May","School Public K-12","Yes",5796.125,15
"85","Cumberland","Commercial","No",39106.252,129
"86","Cumberland","Commercial","Yes",43552.485,33
"87","Cumberland","Farm","No",153.34,8
"88","Cumberland","Farm","Yes",2080.09,4
"89","Cumberland","Government Facility","Yes",31.16,1
