Year,Residential Capacity,Non-Residential Capacity,Grid Supply Capacity,Total Capacity,Residential Capacity (Cumulative),Non-Residential Capacity (Cumulative),Grid Supply Capacity (Cumulative),Total Capacity (Cumulative),Residential Quantity,Non-Residential Quantity,Grid Supply Quantity,Total Quantity,Residential Quantity (Cumulative),Non-Residential Quantity (Cumulative),Grid Supply Quantity (Cumulative),Total Quantity (Cumulative)
2000,0.01,0.01,0,0.02,0.01,0.01,0,0.02,4,2,0,6,4,2,0,6
2001,0.01,0,0,0.01,0.02,0.01,0,0.03,2,0,0,2,6,2,0,8
2002,0.07,0.59,0,0.66,0.09,0.6,0,0.69,25,10,0,35,31,12,0,43
2003,0.35,0.67,0,1.02,0.44,1.27,0,1.71,62,17,0,79,93,29,0,122
2004,1.5,1.01,0,2.51,1.93,2.28,0,4.21,247,44,0,291,340,73,0,413
2005,4.58,4.94,0,9.52,6.51,7.22,0,13.73,619,92,0,711,959,165,0,1124
2006,5.23,12.98,0,18.21,11.74,20.19,0,31.93,733,141,0,874,1692,306,0,1998
2007,3.77,10.46,0,14.23,15.51,30.65,0,46.16,520,119,0,639,2212,425,0,2637
2008,4.94,23.26,0,28.2,20.45,53.91,0,74.36,653,218,0,871,2865,643,0,3508
2009,7.99,45.12,3.37,56.48,28.44,99.03,3.37,130.84,1055,338,5,1398,3920,981,5,4906
2010,16.43,79.29,25.19,120.91,44.87,178.31,28.56,251.74,2126,544,19,2689,6046,1525,24,7595
2011,40.47,268.47,137.62,446.56,85.34,446.78,166.18,698.3,5090,1313,51,6454,11136,2838,75,14049
2012,42.07,233.78,56.79,332.64,127.41,680.56,222.97,1030.94,5286,1110,23,6419,16422,3948,98,20468
2013,46.55,150.65,23.16,220.36,173.95,831.21,246.13,1251.29,5946,539,18,6503,22368,4487,116,26971
2014,54.72,85.63,63.37,203.72,228.68,916.84,309.5,1455.02,6824,231,8,7063,29192,4718,124,34034
2015,101.92,52.57,41.68,196.17,330.59,969.41,351.19,1651.19,12886,203,8,13097,42078,4921,132,47131
2016,180.3,91.75,136.22,408.27,510.89,1061.16,487.41,2059.46,21915,352,22,22289,63993,5273,154,69420
2017,159,132.59,60.13,351.72,669.89,1193.75,547.54,2411.18,18565,478,8,19051,82558,5751,162,88471
2018,150.39,137.4,43.92,331.71,820.29,1331.15,591.46,2742.9,17256,558,5,17819,99814,6309,167,106290
2019,144.46,230.67,77.95,453.08,964.74,1561.83,669.41,3195.98,15896,592,7,16495,115710,6901,174,122785
2020,124.34,132.93,66.58,323.85,1089.09,1694.75,735.99,3519.83,13989,490,10,14489,129699,7391,184,137274
2021,115.87,96.42,60.62,272.91,1204.96,1791.17,796.61,3792.74,12785,365,16,13166,142484,7756,200,150440
