Year,Residential Capacity (Cumulative),Residential Capacity Y-o-Y Growth,Non-Residential Capacity (Cumulative),Non-Residential Capacity Y-o-Y Growth,Grid Supply Capacity (Cumulative),Grid Supply Capacity Y-o-Y Growth,Total Capacity (Cumulative),Total Capacity Y-o-Y Growth,Residential Quantity (Cumulative),Residential Quantity Y-o-Y Growth,Non-Residential Quantity (Cumulative),Non-Residential Quantity Y-o-Y Growth,Grid Supply Quantity (Cumulative),Grid Supply Quantity Y-o-Y Growth,Total Quantity (Cumulative),Total Quantity Y-o-Y Growth
2000,0.01,0.00%,0.01,0.00%,0,0.00%,0.02,0.00%,4,0.00%,2,0.00%,0,0.00%,6,0.00%
2001,0.02,100.00%,0.01,0.00%,0,0.00%,0.03,50.00%,6,50.00%,2,0.00%,0,0.00%,8,33.30%
2002,0.09,350.00%,0.6,5900.00%,0,0.00%,0.69,2200.00%,31,416.70%,12,500.00%,0,0.00%,43,437.50%
2003,0.44,388.90%,1.27,111.70%,0,0.00%,1.71,147.80%,93,200.00%,29,141.70%,0,0.00%,122,183.70%
2004,1.93,338.60%,2.28,79.50%,0,0.00%,4.21,146.20%,340,265.60%,73,151.70%,0,0.00%,413,238.50%
2005,6.51,237.30%,7.22,216.70%,0,0.00%,13.73,226.10%,959,182.10%,165,126.00%,0,0.00%,1124,172.20%
2006,11.74,80.30%,20.19,179.60%,0,0.00%,31.93,132.60%,1692,76.40%,306,85.50%,0,0.00%,1998,77.80%
2007,15.51,32.10%,30.65,51.80%,0,0.00%,46.16,44.60%,2212,30.70%,425,38.90%,0,0.00%,2637,32.00%
2008,20.45,31.90%,53.91,75.90%,0,0.00%,74.36,61.10%,2865,29.50%,643,51.30%,0,0.00%,3508,33.00%
2009,28.44,39.10%,99.03,83.70%,3.37,0.00%,130.84,76.00%,3920,36.80%,981,52.60%,5,0.00%,4906,39.90%
2010,44.87,57.80%,178.31,80.10%,28.56,747.50%,251.74,92.40%,6046,54.20%,1525,55.50%,24,380.00%,7595,54.80%
2011,85.34,90.20%,446.78,150.60%,166.18,481.90%,698.3,177.40%,11136,84.20%,2838,86.10%,75,212.50%,14049,85.00%
2012,127.41,49.30%,680.56,52.30%,222.97,34.20%,1030.94,47.60%,16422,47.50%,3948,39.10%,98,30.70%,20468,45.70%
2013,173.95,36.50%,831.21,22.10%,246.13,10.40%,1251.29,21.40%,22368,36.20%,4487,13.70%,116,18.40%,26971,31.80%
2014,228.68,31.50%,916.84,10.30%,309.5,25.70%,1455.02,16.30%,29192,30.50%,4718,5.10%,124,6.90%,34034,26.20%
2015,330.59,44.60%,969.41,5.70%,351.19,13.50%,1651.19,13.50%,42078,44.10%,4921,4.30%,132,6.50%,47131,38.50%
2016,510.89,54.50%,1061.16,9.50%,487.41,38.80%,2059.46,24.70%,63993,52.10%,5273,7.20%,154,16.70%,69420,47.30%
2017,669.89,31.10%,1193.75,12.50%,547.54,12.30%,2411.18,17.10%,82558,29.00%,5751,9.10%,162,5.20%,88471,27.40%
2018,820.29,22.50%,1331.15,11.50%,591.46,8.00%,2742.9,13.80%,99814,20.90%,6309,9.70%,167,3.10%,106290,20.10%
2019,964.74,17.60%,1561.83,17.30%,669.41,13.20%,3195.98,16.50%,115710,15.90%,6901,9.40%,174,4.20%,122785,15.50%
2020,1089.09,12.90%,1694.75,8.50%,735.99,9.90%,3519.83,10.10%,129699,12.10%,7391,7.10%,184,5.70%,137274,11.80%
2021,1204.96,10.60%,1791.17,5.70%,796.61,8.20%,3792.74,7.80%,142484,9.90%,7756,4.90%,200,8.70%,150440,9.60%
