"","ZIP","CAPACITY","COUNT"
"1","07001",1524.128,226
"2","07002",1737.905,268
"3","07003",3515.595,598
"4","07004",1990.187,223
"5","07005",1217.411,151
"6","07006",1142.013,138
"7","07007",3.6,1
"8","07008",3596.223,528
"9","07009",782.445,100
"10","07010",482.825,67
"11","07011",2184.92,361
"12","07012",1106.41,176
"13","07013",3449.97,519
"14","07014",404.767,59
"15","07015",21.828,4
"16","07016",980.347,136
"17","07017",941.12,155
"18","07018",447.205,78
"19","07019",11.22,2
"20","07020",116.97,19
"21","07021",37.99,5
"22","07022",276.51,41
"23","07023",361.28,57
"24","07024",439.614,53
"25","07026",1281.514,215
"26","07027",390.745,54
"27","07028",182.644,26
"28","07029",238.165,42
"29","07030",127.32,23
"30","07031",1397.095,214
"31","07032",1775.26,299
"32","07033",1200.195,156
"33","07034",708.955,102
"34","07035",755.385,84
"35","07036",5155.209,809
"36","07039",2324.664,241
"37","07040",1877.538,318
"38","07041",249.613,35
"39","07042",1164.461,171
"40","07043",587.653,75
"41","07044",745.349,105
"42","07045",677.267,65
"43","07046",58.585,9
"44","07047",2080.984,317
"45","07050",626.66,126
"46","07051",7.35,1
"47","07052",3863.693,518
"48","07054",2487.575,353
"49","07055",1706.472,240
"50","07057",572.11,89
"51","07058",286.267,28
"52","07059",1151.804,115
"53","07060",2229.994,329
"54","07061",24.38,4
"55","07062",1153.675,174
"56","07063",1168.11,170
"57","07064",879.87,124
"58","07065",2728.442,403
"59","07066",1246.879,146
"60","07067",2776.407,354
"61","07068",339.151,37
"62","07069",574.085,47
"63","07070",1296.555,188
"64","07071",1473.973,218
"65","07072",629.187,86
"66","07073",579.04,83
"67","07074",358.673,47
"68","07075",704.626,95
"69","07076",1853.343,226
"70","07077",517.29,70
"71","07078",426.392,42
"72","07079",1097.202,139
"73","07080",3910.421,507
"74","07081",1058.745,122
"75","07082",385.96,36
"76","07083",7513.75,1171
"77","07086",106.43,23
"78","07087",407.275,77
"79","07088",360.42,56
"80","07090",830.142,100
"81","07092",401.645,44
"82","07093",494.41,69
"83","07094",1316.247,183
"84","07095",1682.175,240
"85","07099",7.82,1
"86","07102",27.18,5
"87","07103",580.557,117
"88","07104",766.85,99
"89","07105",297.179,47
"90","07106",730.885,128
"91","07107",480.485,78
"92","07108",728.31,147
"93","07109",2628.09,426
"94","07110",1663.148,239
"95","07111",1755.425,297
"96","07112",687.517,118
"97","07114",115.07,18
"98","07189",3.525,1
"99","07201",1356.57,196
"100","07202",2213.445,329
"101","07203",2501.65,393
"102","07204",994.565,151
"103","07205",2427.835,376
"104","07206",1445.33,210
"105","07207",7.2,1
"106","07208",1484.674,224
"107","07242",6.07,1
"108","07302",205.482,34
